staffs_id,first_name,last_name,email,phone_number,thumbnail_url,profile_image_url,restaurants_id
1,Alejandro,Fernández Gómez,alejandro.fernandez@gmail.com,611223311,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_1.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_1.jpg,1
2,María,Gutiérrez Rodríguez,maria.gutierrez@gmail.com,611223312,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_2.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_2.jpg,1
3,Laura,Martínez López,laura.martinez@gmail.com,611223313,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_3.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_3.jpg,1
4,Javier,Ruiz García,javier.ruiz@gmail.com,611223314,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_4.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_4.jpg,1
5,Carlos,García Pérez,carlos.garcia@gmail.com,611223315,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_5.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_5.jpg,1
6,Antonio,Díaz Jiménez,antonio.diaz@gmail.com,611223316,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_6.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_6.jpg,1
7,David,Sánchez Vázquez,david.sanchez@gmail.com,611223317,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_7.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_7.jpg,1
8,Adrián,López Romero,adrian.lopez@gmail.com,611223318,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_8.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_8.jpg,1
9,Miguel,Pérez Martín,miguel.perez@gmail.com,611223319,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_9.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_9.jpg,1
10,Ana,Rodríguez Sánchez,ana.rodriguez@gmail.com,611223320,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_10.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_10.jpg,2
11,Sara,Martín Ruiz,sara.martin@gmail.com,611223321,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_11.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_11.jpg,2
12,Pablo,Jiménez García,pablo.jimenez@gmail.com,611223322,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_12.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_12.jpg,2
13,Rubén,Hernández López,ruben.hernandez@gmail.com,611223323,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_13.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_13.jpg,2
14,Jesús,Romero Sánchez,jesus.romero@gmail.com,611223324,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_14.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_14.jpg,2
15,Elena,Gómez Hernández,elena.gomez@gmail.com,611223325,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_15.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_15.jpg,2
16,Lucía,Rojas Martínez,lucia.rojas@gmail.com,611223326,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_16.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_16.jpg,2
17,Angela,Serrano Vargas,angela.serrano@gmail.com,611223327,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_17.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_17.jpg,2
18,Silvia,Ortega Gallardo,silvia.ortega@gmail.com,611223328,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_18.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_18.jpg,3
19,Víctor,Molina Moreno,victor.molina@gmail.com,611223329,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_19.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_19.jpg,3
20,Raul,Fuentes Prieto,raul.fuentes@gmail.com,611223330,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_20.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_20.jpg,3
21,Carmen,Santos Vega,carmen.santos@gmail.com,611223331,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_21.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_21.jpg,3
22,Beatriz,Vega Mendoza,beatriz.vega@gmail.com,611223332,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_22.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_22.jpg,3
23,Cristina,Gallego Serrano,critina.gallego@gmail.com,611223333,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_23.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_23.jpg,3
24,Paula,Prieto Vargas,paula.prieto@gmail.com,611223334,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_24.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_24.jpg,4
25,Antonio,Iglesias Gallardo,antonio.iglesias@gmail.com,611223335,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_25.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_25.jpg,4
26,Lourdes,Mendoza Vargas,lourdes.mendoza@gmail.com,611223336,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_26.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_26.jpg,4
27,Ricardo,Vargas Gallardo,ricardo.vargas@gmail.com,611223337,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_27.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_27.jpg,4
28,Clara,Gallardo Vega,clara.gallardo@gmail.com,611223338,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_28.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_28.jpg,4
29,Juan,Moreno Serrano,juan.moreno@gmail.com,611223339,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_29.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_29.jpg,4
30,Isabel,Garrido Martínez,isabel.garrido@gmail.com,611223340,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_30.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_30.jpg,4
31,Sergio,López Martínez,sergio.lopez@gmail.com,611223341,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_31.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_31.jpg,5
32,Laura,Morales Sánchez,laura.morales@gmail.com,611223342,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_32.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_32.jpg,5
33,Marta,Jiménez Vargas,marta.jimenez@gmail.com,611223343,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_33.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_33.jpg,5
34,Diego,Herrera Rodríguez,diego.herrera@gmail.com,611223344,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_34.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_34.jpg,5
35,Alejandro,Navarro López,alejandro.navarro@gmail.com,611223345,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_35.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_35.jpg,5
36,Francisco,González Martínez,francisco.gonzalez@gmail.com,611223346,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/thumbnail/staffs_36.jpg,https://raw.githubusercontent.com/carlosmaroto-daweb/dashboard_goiko/main/bd/img/staffs/image/staffs_36.jpg,5
